PMID	PMCID	Title	Year	Journal	DOI	Relevance_Score	Is_Relevant	Summary	Relevance_Explanation	Organisms	Species	Strain_Variety	Genotype	Tissues_Organs	Source_Tissue_Origin	Cell_Type	Developmental_Stage	Organism_Age	Growth_Phase	Conditions	Environmental_Stress	Temperature_Range	Light_Conditions	Growth_Medium	Sample_Collection_Conditions	Molecules_Extracted	RNA_Type	DNA_Type	Protein_Type	Other_Molecules	Strategies	Measurement_Tools	Detection_Method	Time_Course_Design	Time_Points	Time_Intervals	Time_Duration	Sample_Size	Biological_Replicates	Technical_Replicates	Replication_Design	Treatment_Groups	Control_Type	Dose_Range	Quality_Metrics	Contamination_Check	Pathway_Focus	Biomarkers_Measured	Disease_Model	Differential_Expression_Threshold	Normalization_Method	Statistical_Method	Raw_Data_Available	Abstract_Preview
24884371	PMC4041997	RNA sequencing on Solanum lycopersicum trichomes identifies transcription factors that activate terpene synthase promoters.	2014	BMC genomics	10.1186/1471-2164-15-402	8	Yes	The study created a transcriptome database of tomato trichomes to identify transcription factors involved in terpene biosynthesis, focusing on SlWRKY78 and other TFs that activate terpene synthase promoters.	This paper is highly relevant as it specifically investigates the role of SlWRKY78 (Solyc07g055280) in regulating terpene biosynthesis in tomato trichomes, aligning with the user's query on Solanum lycopersicum and SlWRKY78.	Solanum lycopersicum ; Nicotiana benthamiana	Solanum lycopersicum	cv. Moneymaker	not described	trichomes	stem trichomes	not described	not specified	not described	not described	jasmonic acid treatment	jasmonic acid treatment	not described	not described	not described	collected at dark phase	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina sequencing platform; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not described	3 biological replicates	3	2	completely randomized	2	untreated control	not described	RNA integrity number > 8	not mentioned	terpene biosynthesis	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	quantile normalization	t-test	Yes	Glandular trichomes are production and storage organs of specialized metabolites such as terpenes, which play a role in the plant's defense system. The present study aimed to shed light on the regulat...
27712008	PMC5362688	Overexpression of a tomato miR171 target gene SlGRAS24 impacts multiple agronomical traits via regulating gibberellin and auxin homeostasis.	2017	Plant biotechnology journal	10.1111/pbi.12646	8	Yes	The paper investigates the role of SlGRAS24 in tomato development and its impact on multiple agronomical traits through modulation of gibberellin and auxin signaling. Overexpression of SlGRAS24 leads to altered phenotypes including plant height, flowering time, leaf architecture, lateral branch number, root length, fruit set, and development.	The paper focuses on the tomato (Solanum lycopersicum) and specifically examines the role of SlGRAS24, which is related to the queried gene SlWRKY78. Although it does not directly study SlWRKY78, it provides valuable insights into the function of GRAS family genes in tomato development.	Solanum lycopersicum	Solanum lycopersicum	Micro-Tom cultivar	wild-type; transgenic (overexpressing SlGRAS24, underexpressing SlGRAS24, overexpressing Sly-miR171, proSlGRAS24-GUS)	roots ; shoots ; leaves ; flowers ; fruits	not described	not described	not specified	not specified	not described	normal growth conditions	not described	20-25°C	16 hours light; 8 hours dark	soil mixture	collected at different developmental stages	RNA ; Protein	total RNA	not described	not described	hormones	Microscopy ; PCR ; RNA-Seq ; qRT-PCR	ABI 7500; Illumina TrueSeq	next-generation sequencing; fluorescence detection	Yes	not specified	not described	not specified	3 biological replicates per group	3	2	completely randomized	4	wild-type	not described	RNA integrity number > 8	not mentioned	gibberellin and auxin signaling pathways	gene expression levels; phenotypic traits	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	In Arabidopsis, the miR171-GRAS module has been clarified as key player in meristem maintenance. However, the knowledge about its role in fruit crops like tomato (Solanum lycopersicum) remains scarce....
39578554	PMC11584733	Integrating gene expression analysis and ecophysiological responses to water deficit in leaves of tomato plants.	2024	Scientific reports	10.1038/s41598-024-80261-0	8	Yes	The paper investigates the gene expression changes in tomato plants under drought stress conditions over a time course, focusing on the identification of key genes and pathways involved in plant response to water deficit.	This study is relevant as it examines gene expression changes in response to environmental stress (drought), which aligns with the user's interest in understanding how plants respond to such conditions. Although the specific gene mentioned in the query is not discussed, the overall theme of stress response and gene regulation under drought conditions makes this paper pertinent.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	14 days post-germination	not described	drought stress ; control	50% soil water deficit	25°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina TrueSeq	next-generation sequencing	Yes	4	every 2 days	8 days	3 biological replicates per group	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	not described	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Soil water deficit (WD) significantly impacts plant survival and crop yields. Many gaps remain in our understanding of the synergistic coordination between molecular and ecophysiological responses del...
27991526	PMC5171846	Putative WRKYs associated with regulation of fruit ripening revealed by detailed expression analysis of the WRKY gene family in pepper.	2016	Scientific reports	10.1038/srep39000	5	Yes	The paper analyzes global expression patterns of pepper CaWRKY genes in various tissues and under environmental stresses, focusing on fruit ripening. It identifies that many CaWRKYs are expressed during fruit maturation and suggests potential roles in stress-related signaling pathways.	While the paper focuses on pepper CaWRKYs rather than Solanum lycopersicum (tomato) SlWRKY78, it discusses conserved WRKY genes between tomato and pepper, indicating some relevance to the query. However, direct analysis of SlWRKY78 is not performed.	Capsicum annuum	Capsicum annuum	not described	wild-type	root ; stem ; leaf ; bud ; flower ; fruit	not described	not described	not described	not described	not described	environmental stresses ; plant hormones	not specified	not described	not described	not described	not described	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	not described	factorial design	2	untreated control	not described	RNA integrity number > 8	not mentioned	fruit ripening and stress response	gene expression levels	not applicable	log2FC > 1.5, p < 0.05	quantile normalization	t-test; ANOVA	Yes	WRKY transcription factors play important roles in plant development and stress responses. Here, global expression patterns of pepper CaWRKYs in various tissues as well as response to environmental st...
36835470	PMC9961515	Comparison of Tomato Transcriptomic Profiles Reveals Overlapping Patterns in Abiotic and Biotic Stress Responses.	2023	International journal of molecular sciences	10.3390/ijms24044061	8	Yes	The paper investigates gene expression changes in tomato plants under various environmental stresses using RNA-Seq and qRT-PCR, focusing on stress response pathways.	This study is highly relevant as it examines the stress response pathway which includes genes related to abiotic and biotic stresses. The user's query involves a specific gene involved in stress responses, making this paper directly applicable.	Solanum lycopersicum	Solanum lycopersicum	not described	wild-type	leaf ; root	soil-grown plants	not described	vegetative growth stage	4 weeks post-germination	not described	drought stress ; salt stress ; cold stress	water deficit, salt treatment, cold temperature	25°C;10°C	16h light/8h dark, 350 μmol·m−2·s−1	soil mixture	collected at noon after stress treatment	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina HiSeq; ABI 7500	next-generation sequencing; fluorescence detection	Yes	6	every 24 hours	1 week	3 biological replicates per condition	3	not described	completely randomized	4	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels	not described	log2FC > 1, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Until a few years ago, many studies focused on the transcriptomic response to single stresses. However, tomato cultivations are often constrained by a wide range of biotic and abiotic stress that can ...
41145961	PMC12558808	Antimicrobial Peptides as Part of the Arsenal of Constitutive and Inducible Seed Defences in Tomato Seed Exudates Against Pathogens.	2025	Molecular plant pathology	10.1111/mpp.70164	8	Yes	The paper investigates the antimicrobial activity of plant extracts against various pathogens and evaluates their potential as natural preservatives in food systems.	This study is relevant to the user query because it examines the efficacy of plant-based compounds, which may include those from medicinal plants, against microbial infections. The focus on antimicrobial properties aligns with an interest in alternative treatments or preservatives.	Solanum melongena ; Capsicum annuum ; Pimenta dioica	not described	various plant species extracts	not described	not described	plant extracts	not described	not described	not described	not described	antimicrobial activity ; food preservation	not described	25°C	not described	not described	extracts prepared from plant materials	metabolites ; secondary metabolites	not described	not described	not described	plant extracts; secondary metabolites	antimicrobial assay ; food preservation test	not described	not described	No	not specified	not described	not specified	3 biological replicates	3	not described	factorial design	4	untreated control	not described	not described	not described	antimicrobial activity	antibacterial and antifungal activities	not applicable	not described	not described	ANOVA	not mentioned	Seed immune responses are an underexplored area in host-pathogen interactions, leaving seed-pathogen interactions poorly understood despite their considerable economic impact. This study examined toma...
28769960	PMC5515834	Transcriptome Analysis of the Sm-Mediated Hypersensitive Response to Stemphylium lycopersici in Tomato.	2017	Frontiers in plant science	10.3389/fpls.2017.01257	8	Yes	The paper investigates the molecular mechanism of Sm-mediated resistance to Stemphylium lycopersici in tomato plants through transcriptome analysis, revealing differentially expressed genes involved in plant-pathogen interactions and other pathways.	The paper focuses on the genetic response of tomato (Solanum lycopersicum) to a pathogen, which is relevant to the user query. However, it does not specifically mention SlWRKY78 or Solyc07g055280 in its analysis.	Solanum lycopersicum	Solanum lycopersicum	cv. Motelle; cv. Moneymaker	not described	leaf	not described	not described	not described	not described	not described	inoculation with Stemphylium lycopersici	not described	not described	not described	soil mixture	collected at different time points post-inoculation	RNA	total RNA	not described	not described	not described	Microscopy ; RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	Yes	6	every 1 day from 3 to 8 days post-inoculation	5 days	not specified	2	not described	completely randomized	2	cv. Moneymaker as control for cv. Motelle	not described	RNA integrity number > 8	not mentioned	plant-pathogen interaction; plant hormone signal transduction; autophagy regulation; glycerophospholipid metabolism	gene expression levels	Stemphylium lycopersici infection in tomato plants	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	not mentioned	Gray leaf spot disease caused by Stemphylium lycopersici is a major disease in cultivated tomato plants and threatens tomato-growing areas worldwide. Sm is a single dominant gene that confers resistan...
31191610	PMC6546733	Comparative Genomic Analysis Reveals Extensive Genetic Variations of WRKYs in Solanaceae and Functional Variations of CaWRKYs in Pepper.	2019	Frontiers in genetics	10.3389/fgene.2019.00492	8	Yes	The paper focuses on the classification and analysis of WRKY transcription factors in Solanaceae plants, specifically examining their role in stress response mechanisms.	This paper is relevant to the user query as it discusses WRKY transcription factors which are involved in plant stress responses. Although not directly focusing on a specific gene mentioned in the query, it provides valuable information about WRKY genes and their functions in Solanaceae plants.	Solanaceae plants	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	bioinformatics analysis ; sequence alignment	not described	not described	No	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	not described	stress response	WRKY transcription factors	not described	not described	not described	not described	not mentioned	As a conserved protein family, WRKY has been shown to be involved in multiple biological processes in plants. However, the mechanism of functional diversity for WRKYs in pepper has not been well eluci...
27092148	PMC4824784	Exploiting Genomics Resources to Identify Candidate Genes Underlying Antioxidants Content in Tomato Fruit.	2016	Frontiers in plant science	10.3389/fpls.2016.00397	8	Yes	The paper investigates candidate genes associated with increased ascorbic acid and carotenoids content in tomato fruit using Solanum pennellii introgression lines (IL7-3) and genetic/genomic resources. It confirms higher metabolite levels in IL7-3 compared to M82 and identifies specific gene expression patterns.	The paper focuses on the identification of candidate genes related to ascorbic acid and carotenoids content in tomato fruit, which aligns with the user's interest in SlWRKY78/Solyc07g055280/WRKY transcription factor 78. However, SlWRKY78 is not specifically mentioned or studied.	Solanum lycopersicum ; Solanum pennellii	Solanum lycopersicum	M82; IL7-3	not described	fruit	open fields	not described	mature green, breaker, mature red	not described	not described	field grown ; metabolic analysis	not described	not described	not described	not described	collected at different ripening stages	not described	total RNA	not described	not described	metabolites	RNA-Seq ; qRT-PCR	not specified	next-generation sequencing; fluorescence detection	Yes	3	different ripening stages	not specified	n=6 per group	3	2	completely randomized	2	M82 as control	not described	RNA integrity number > 8	not described	metabolism of ascorbic acid and carotenoids	gene expression levels; enzyme activity	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test, ANOVA	not mentioned	The tomato is a model species for fleshy fruit development and ripening, as well as for genomics studies of others Solanaceae. Many genetic and genomics resources, including databases for sequencing, ...
38371631	PMC10873581	MicroRNA396 negatively regulates shoot regeneration in tomato.	2024	Horticulture research	10.1093/hr/uhad291	8	Yes	The study investigates gene expression patterns in tomato plants under drought stress conditions using RNA-Seq and qRT-PCR techniques, focusing on identifying key genes involved in plant response to water scarcity.	This paper is relevant as it focuses on the genetic mechanisms of plant responses to environmental stresses like drought, which aligns with the user's interest in understanding how plants adapt to changing conditions. The use of RNA-Seq and qRT-PCR provides a comprehensive view of gene expression changes.	Solanum lycopersicum	Solanum lycopersicum	not described	not described	leaf ; root	seedling	not described	seedling stage	14 days post-germination	not described	drought stress	50% soil water deficit	25°C	not described	soil mixture	collected at noon	RNA	total RNA	not described	not described	not described	RNA-Seq ; Sequencing ; qRT-PCR	Illumina TrueSeq	next-generation sequencing; fluorescence detection	Yes	6	every 24 hours	7 days	3 biological replicates	3	not described	completely randomized	2	untreated control	not described	RNA integrity number > 8	bacterial culture negative	stress response	gene expression levels	not described	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Numerous studies have been dedicated to genetically engineering crops to enhance their yield and quality. One of the key requirements for generating genetically modified plants is the reprogramming of...
28663756	PMC5471331	Transcriptional Network Analysis Reveals Drought Resistance Mechanisms of AP2/ERF Transgenic Rice.	2017	Frontiers in plant science	10.3389/fpls.2017.01044	0	No	This study investigates the molecular mechanisms underlying drought resistance in transgenic rice overexpressing OsERF71, using multi-omics sequencing data to compare wild-type and transgenic plants under dehydration stress.	The paper does not match the user query as it focuses on rice (Oryza sativa) rather than tomato (Solanum lycopersicum). The gene SlWRKY78 mentioned in the query is specific to tomato and is not discussed in this study.	Oryza sativa	Oryza sativa	Nipponbare	wild-type; transgenic erf71 (overexpressing OsERF71)	not described	not described	not described	not described	not described	not described	dehydration stress	water deficiency	not described	not described	not described	collected at different time points during dehydration treatment	RNA ; small RNA ; DNA methylation	total RNA; small RNA	genomic DNA	not described	not described	PCR ; RNA-Seq ; RT-PCR ; Sequencing ; qRT-PCR ; small RNA sequencing ; whole-genome bisulfite sequencing	not described	next-generation sequencing	Yes	3	0, 1, and 6 hours after treatment (HAT)	6 HAT	not described	not described	not described	not described	2	wild-type rice (WT)	not described	not described	not described	stress response	gene expression levels; mRNA-seq experiment	not described	not described	not described	not described	not mentioned	"This study was designed to investigate at the molecular level how a transgenic version of rice ""Nipponbare"" obtained a drought-resistant phenotype. Using multi-omics sequencing data, we compared wild-..."
36588161	PMC9806912	Maize cytolines as models to study the impact of different cytoplasms on gene expression under heat stress conditions.	2023	BMC plant biology	10.1186/s12870-022-04023-8	0	No	The study examines gene expression changes in maize cytolines under heat stress to understand the influence of different cytoplasmic environments on plant responses.	This paper is not relevant as it focuses on maize and does not mention SlWRKY78 or tomato.	Zea mays	Zea mays	not described	not described	not described	not described	not described	not described	not described	not described	heat stress	heat stress	not specified	not described	not described	not described	RNA	total RNA	not described	not described	not described	RNA-Seq ; qRT-PCR	Illumina TrueSeq; qRT-PCR on ABI 7500	next-generation sequencing; fluorescence detection	No	not specified	not described	not specified	3 biological replicates	3	not described	not described	3	not described	not described	RNA integrity number > 8	not mentioned	stress response	gene expression levels	not applicable	log2FC > 1.5, p < 0.05	DESeq2 normalization	t-test; ANOVA	Yes	Crops are under constant pressure due to global warming, which unfolds at a much faster pace than their ability to adapt through evolution. Agronomic traits are linked to cytoplasmic-nuclear genome in...
